MLS#,Type,Prop. Cat.,Prop. Cond.,Tax,Address,City,Zip,Area,BD,Baths,# Levels,Apx Sqft,Price SqFt,Sld Price Sqft,Lot Size,Pend. Date,DOM,CDOM,List Date,List Price,Sold Date,Price,Yr. Built,HOA Dues,# Garage,# Fireplaces,Terms
23513113,ATTACHD,RES,NEW,0,3619 Fieldstone ST #116,Forest Grove,97116,152,3,2.1,2,1968,227,227,"3K-4,999SF",4/27/2023,24,,4/3/2023,"$447,900 ",8/30/2023,"$447,900 ",2022,118,2,1,"CASH, CONV, FHA, VA"
23435781,ATTACHD,RES,NEW,0,2899 S Oleander ST LT583,Cornelius,97113,152,3,2.1,2,1520,294,294,"0-2,999SF",9/7/2023,0,,9/7/2023,"$447,908 ",4/17/2024,"$447,908 ",2024,126,1,,"CASH, CONV, FHA, USDA, VA"
24399789,ATTACHD,RES,NEW,78,3354 SE Brookwood AVE,Hillsboro,97123,152,3,2.1,3,1943,230,230,"0-2,999SF",12/24/2024,130,130,8/16/2024,"$447,950 ",1/31/2025,"$447,950 ",2024,172,2,,"CONV, FHA, VA"
241242637,ATTACHD,RES,NEW,799.36,3402 SE BROOKWOOD AVE,Hillsboro,97123,152,3,2.1,3,1943,230,230,"0-2,999SF",1/17/2025,0,0,1/17/2025,"$447,950 ",2/21/2025,"$447,950 ",2024,172,2,,"CASH, CONV, FHA, VA"
23364406,ATTACHD,RES,NEW,0,2716 S Nectarine ST LT536,Cornelius,97113,152,3,2.1,2,1520,294,294,"3K-4,999SF",4/18/2023,0,,4/18/2023,"$447,988 ",11/13/2023,"$447,988 ",2023,119,1,,"CASH, CONV, FHA, USDA, VA"
23391296,DETACHD,RES,FIXER,4892.8,553 SE ALDER CT,Hillsboro,97123,152,2,2,2,1589,298,282,20K-.99AC,10/9/2023,7,7,10/2/2023,"$475,000 ",10/27/2023,"$449,000 ",1989,,2,,"CASH, CONV"
24441638,ATTACHD,RES,NEW,0,2865 S Oleander ST LT591,Cornelius,97113,152,3,2.1,2,1520,295,295,"0-2,999SF",3/22/2024,0,0,3/22/2024,"$449,411 ",4/23/2024,"$449,411 ",2024,126,1,,"CASH, CONV, FHA, USDA, VA"
23255391,DETACHD,RES,RESALE,3039.13,1599 E MAIN ST,Hillsboro,97123,152,4,1,2,1394,322,322,"5K-6,999SF",9/16/2023,30,30,8/17/2023,"$449,900 ",10/10/2023,"$449,900 ",1971,,2,,"CASH, CONV, FHA"
23489241,CONDO,RES,RESALE,4226.45,1958 NE 49TH WAY End,Hillsboro,97124,152,3,2.1,3,1793,250,250,,8/24/2023,7,7,8/17/2023,"$449,900 ",9/28/2023,"$449,900 ",2006,335,2,1,"CASH, CONV, FHA, SGI, VA"
24246399,DETACHD,RES,RESALE,3597.98,1085 SE ALBERTINE ST,Hillsboro,97123,152,3,2.1,2,1692,265,265,"0-2,999SF",5/22/2024,6,6,5/16/2024,"$449,900 ",6/25/2024,"$449,900 ",2004,140,1,1,"CASH, CONV, FHA, VA"
24253182,ATTACHD,RES,NEW,0,3363 SE EQUINOX LN,Hillsboro,97123,152,3,2.1,2,1542,291,291,"0-2,999SF",3/5/2025,77,77,12/18/2024,"$449,900 ",3/27/2025,"$449,900 ",2024,250,2,,"CASH, CONV, FHA, VA"
24276698,ATTACHD,RES,RESALE,3635.56,2708 SE 48TH PL,Hillsboro,97123,152,2,2.1,2,1873,240,240,"3K-4,999SF",8/12/2024,46,46,6/27/2024,"$449,900 ",9/18/2024,"$449,900 ",2008,75,2,1,"CASH, CONV, FHA, VA"
24307506,ATTACHD,RES,NEW,0,3379 SE Equinox LN,Hillsboro,97123,152,3,2.1,2,1612,279,279,"0-2,999SF",2/12/2025,47,47,12/27/2024,"$449,900 ",2/25/2025,"$449,900 ",2024,250,2,,"CASH, CONV, FHA, VA"
24555203,ATTACHD,RES,RESALE,4448,3409 SE SALMONFLY LN,Hillsboro,97123,152,2,2.1,2,1285,350,350,"3K-4,999SF",7/7/2024,9,9,6/28/2024,"$449,900 ",8/9/2024,"$449,900 ",2019,240,2,1,"CASH, CONV, FHA, VA"
158347007,ATTACHD,RES,NEW,1,3555 Chestnut ST,Forest Grove,97116,152,3,2.1,2,1563,287,287,"0-2,999SF",2/19/2025,0,0,2/19/2025,"$449,900 ",3/20/2025,"$449,900 ",2024,47,1,1,"CASH, CONV, FHA, USDA, VA"
208195411,ATTACHD,RES,NEW,0,6940 SE Butternut Creek PKWY,Hillsboro,97123,152,3,2.1,2,1558,288,288,"0-2,999SF",5/2/2025,0,0,5/2/2025,"$449,900 ",5/29/2025,"$449,900 ",2025,233,2,1,"CASH, CONV, FHA, VA"
568039898,ATTACHD,RES,NEW,490.76,3339 SE EQUINOX LN,Hillsboro,97123,152,3,2.1,2,1542,291,291,"0-2,999SF",5/11/2025,60,60,3/12/2025,"$449,900 ",5/29/2025,"$449,900 ",2025,250,2,,"CASH, CONV, FHA, VA"
597466628,ATTACHD,RES,NEW,490.76,3347 SE EQUINOX LN,Hillsboro,97123,152,3,2.1,2,1617,278,278,"0-2,999SF",4/4/2025,49,49,2/14/2025,"$449,900 ",4/28/2025,"$449,900 ",2025,250,2,,"CASH, CONV, FHA, VA"
